step,q_j1,q_j7,flow_ew,flow_ns,ambulance_active,co2_j1,co2_j7,cars_j1,cars_j7,tot_car,tot_amb,tot_bus,tot_ped,tot_truck,tot_triggers
2960,7,6,5,0,0,14102340.605502341,13562006.09642302,541,535,1082,10,292,110,132,12
2970,9,9,0,0,0,14228664.419362884,13716800.270814033,542,537,1085,10,292,110,133,12
2980,1,11,2,0,0,14372826.626348812,13900549.507688748,543,538,1089,10,292,111,133,12
2990,1,3,2,0,0,14396896.896106677,14080858.08969811,546,539,1093,10,293,111,133,12
3000,0,1,2,1,0,14401192.896106677,14108865.254906278,548,542,1095,10,296,112,133,12
3010,0,2,0,2,0,14402713.896106677,14128289.813973648,549,546,1101,10,296,112,133,12
3020,0,0,1,0,0,14404649.896106677,14141176.758700404,550,550,1105,10,299,112,134,12
3030,2,1,2,0,0,14421915.029545529,14148514.758700404,555,554,1115,10,300,112,134,12
3040,7,2,3,0,0,14505503.414505774,14168720.769450389,558,556,1122,10,300,112,134,12
3050,9,5,2,0,0,14619762.892000673,14250539.272796186,558,558,1126,10,300,113,134,12
3060,9,8,1,0,0,14760800.995613294,14370095.986011166,558,562,1129,10,301,113,134,12
3070,10,11,0,0,1,14909086.62230961,14558970.36297228,560,562,1131,11,303,113,134,13
3080,12,3,1,0,1,15092267.470346604,14729346.36297228,561,562,1133,11,304,114,134,13
3090,13,1,2,2,0,15294339.435683073,14742344.36297228,562,569,1141,11,304,114,136,13
3100,13,1,0,0,0,15508725.782781854,14750062.585906602,562,572,1146,11,304,115,137,13
3110,13,1,2,0,1,15723145.782781854,14756566.433793409,562,575,1149,12,305,115,137,13
3120,1,0,0,0,0,15772168.833688691,14758087.433793409,566,576,1153,12,307,115,138,13
3130,0,1,0,0,0,15789302.493320761,14768252.998788893,570,578,1158,12,308,116,139,13
3140,1,3,2,0,0,15807964.811322302,14804164.976387696,576,579,1164,12,313,116,139,13
3150,0,5,2,0,0,15814048.811322302,14866643.209698,580,583,1172,12,314,117,141,13
3160,3,9,2,0,0,15827077.602340715,14982231.688477226,585,586,1182,12,314,117,141,13
3170,8,4,1,0,0,15906080.632249601,15119441.982994346,587,587,1187,12,315,118,141,13
3180,8,0,0,1,0,16041791.840691686,15122482.62828879,588,588,1189,12,315,118,141,13
3190,9,0,0,1,0,16186366.177991388,15127045.62828879,588,591,1193,12,315,118,141,13
3200,9,0,1,0,0,16335796.177991388,15129820.62828879,588,592,1195,12,316,118,141,13
3210,1,1,1,0,0,16357543.177991388,15134383.62828879,590,595,1199,12,318,118,141,13
3220,1,3,2,0,0,16367389.177991388,15159405.74287417,594,598,1204,12,322,119,141,13
3230,0,8,1,0,0,16376271.735036375,15247952.610260958,598,601,1211,12,323,119,143,13
3240,0,9,0,0,0,16383876.735036375,15369403.01561106,603,601,1217,12,323,121,144,13
3250,3,9,2,0,0,16411091.484003102,15506291.472978517,608,601,1221,12,323,121,145,13
3260,8,2,1,0,0,16523703.3531965,15632784.910188816,609,603,1221,12,327,121,146,13
3270,10,0,0,1,0,16677517.33262315,15643094.707230242,610,604,1223,12,330,121,146,13
3280,10,0,0,1,0,16846307.33262315,15655729.510358289,610,607,1226,12,330,121,146,13
3290,10,0,1,0,0,17016618.33262315,15659186.510358289,611,609,1229,12,330,121,147,13
3300,3,0,1,0,0,17051189.156560414,15663482.510358289,613,611,1233,12,332,121,147,13
3310,0,1,3,0,0,17065691.860785477,15668611.571035793,615,611,1235,12,334,121,148,13
3320,0,2,5,0,0,17070254.860785477,15702156.601899672,618,614,1240,12,337,121,148,13
3330,0,6,0,0,0,17076071.860785477,15780018.805136135,621,618,1245,12,340,121,148,13
3340,1,8,2,0,0,17089803.190794628,15915255.085898299,623,618,1247,12,341,122,148,13
3350,3,1,1,0,0,17146212.32820378,16067021.233701503,624,620,1252,12,343,123,148,13
3360,4,1,0,2,0,17219499.04865444,16088493.354937157,627,623,1258,12,344,123,148,13
3370,8,2,2,2,0,17332794.320116304,16102216.084573071,629,625,1261,12,347,123,149,13
3380,9,0,1,0,0,17476426.713457763,16103737.084573071,630,626,1266,12,347,123,149,13
3390,1,0,1,0,0,17495937.710990008,16105258.084573071,632,627,1269,12,347,123,149,13
3400,1,1,3,0,0,17498979.710990008,16111329.972836575,634,629,1274,12,347,124,149,13
3410,0,2,2,0,0,17502021.710990008,16142878.336271064,636,631,1279,12,348,124,149,13
3420,0,5,0,0,0,17503542.710990008,16202549.95778011,637,632,1284,12,348,124,149,13
3430,0,5,1,0,0,17505063.710990008,16291139.348442668,638,632,1287,12,348,124,150,13
3440,3,0,0,0,0,17528122.69006987,16370757.50127044,643,633,1292,12,350,124,151,13
3450,6,0,2,0,0,17622450.603336535,16372278.50127044,644,634,1294,12,351,124,151,13
3460,8,0,0,0,0,17744360.701212607,16373799.50127044,646,635,1297,12,351,124,151,13
3470,9,0,0,0,0,17910370.92162939,16373799.50127044,646,635,1298,12,351,124,151,13
3480,1,0,2,0,0,17939675.582432523,16375320.50127044,649,636,1300,12,354,126,151,13
3490,4,1,3,0,0,17996142.827961694,16392116.98154563,654,639,1308,12,355,126,152,13
3500,0,5,0,0,0,18035755.827961694,16451565.112171492,656,644,1315,12,357,126,154,13
3510,2,9,1,0,0,18063223.89602553,16592299.47637957,658,645,1316,12,360,127,154,13
3520,2,11,2,0,0,18099589.420001213,16793100.023339614,659,646,1319,12,362,128,154,13
3530,4,3,1,0,0,18166441.478479266,16982231.04036161,660,646,1320,12,363,128,155,13
3540,5,1,2,1,0,18272400.162620157,17000356.870479167,663,649,1327,12,364,129,156,13
3550,9,1,1,2,0,18406661.753184635,17013860.855728008,665,654,1331,12,367,129,158,13
3560,9,1,0,0,0,18578643.078957923,17023072.956322264,666,657,1334,12,368,129,159,13
3570,1,0,0,1,0,18605760.398040473,17024593.956322264,668,658,1336,12,369,129,159,13
3580,1,1,2,0,0,18615871.14957535,17040985.403637264,672,661,1342,12,370,129,159,13
3590,1,5,2,0,0,18617807.14957535,17091941.4924937,673,663,1343,12,370,129,161,13
