step,q_j1,q_j7,flow_ew,flow_ns,ambulance_active,co2_j1,co2_j7,cars_j1,cars_j7,tot_car,tot_amb,tot_bus,tot_ped,tot_truck,tot_triggers
690,0,0,1,3,0,2592932.226775343,3125903.1131901755,115,129,240,3,56,23,30,3
700,0,0,1,0,0,2598749.226775343,3130466.1131901755,118,132,246,3,57,23,30,3
710,0,2,2,0,1,2603727.226775343,3138640.723915428,121,133,248,4,58,24,31,4
720,2,2,1,0,1,2621206.4915741957,3157066.8219074905,123,134,253,4,59,24,31,5
730,4,4,1,0,0,2674276.6884136046,3220877.7156915693,125,139,259,4,60,25,32,5
740,7,8,0,0,0,2755323.5508400924,3337386.120950365,128,139,263,4,60,25,33,5
750,10,5,0,0,0,2896119.3213411095,3481274.6265170733,130,140,267,4,62,25,33,5
760,1,1,1,1,0,3021166.826093944,3491981.2115929164,131,143,270,4,63,26,33,5
770,3,1,2,0,0,3067078.954662526,3494756.2115929164,132,144,272,4,65,28,33,5
780,0,1,2,0,0,3087301.5774319903,3501827.2115929164,133,147,277,4,67,30,33,5
790,0,0,1,1,0,3087301.5774319903,3507644.2115929164,133,150,279,4,68,33,33,5
800,0,1,3,0,0,3094372.5774319903,3524565.1807750366,136,153,282,4,71,33,34,5
810,3,4,3,0,0,3132132.2781251874,3584999.6901337053,137,154,288,4,71,35,35,5
820,4,5,1,0,0,3222175.5771968947,3684013.6443282203,137,154,290,4,71,35,35,5
830,4,5,0,0,0,3317223.5771968947,3789293.6443282203,140,154,293,4,71,36,36,5
840,7,1,1,0,0,3449962.310640991,3885566.6443282203,141,154,296,4,71,36,36,5
850,1,0,0,1,0,3555512.6559075518,3885566.6443282203,143,154,301,4,71,36,36,5
860,3,0,0,0,0,3579306.7618278046,3887087.6443282203,148,155,306,4,73,36,37,5
870,2,0,0,0,0,3617473.3204374965,3893319.6443282203,152,158,310,4,75,36,39,5
880,2,1,0,1,0,3653710.3204374965,3899403.6443282203,155,162,317,4,77,37,39,5
890,0,2,3,0,0,3656752.3204374965,3916837.6060773274,157,164,322,4,77,38,39,5
900,1,5,2,0,0,3665666.6403521746,3964871.878179172,157,166,325,4,79,38,40,5
910,1,6,0,0,0,3684333.6403521746,4052988.7796841175,159,167,329,4,79,38,41,5
920,3,8,1,0,0,3715312.8959697024,4176200.774767191,159,168,331,4,79,38,41,5
930,3,4,0,0,0,3769388.895361223,4307109.489892072,161,169,333,4,82,39,41,5
940,0,0,1,1,0,3813757.248349501,4314447.489892072,162,172,336,4,83,39,41,5
950,0,0,1,0,0,3815693.248349501,4316383.489892072,163,173,336,4,83,39,43,5
960,0,0,2,0,0,3819989.248349501,4321361.489892072,165,176,341,4,85,41,44,5
970,0,0,1,0,0,3821510.248349501,4321361.489892072,166,176,343,4,85,41,44,5
980,0,1,1,0,0,3821510.248349501,4324818.489892072,166,178,345,4,85,41,45,5
990,0,3,2,0,0,3821510.248349501,4349994.860798844,166,181,348,4,86,42,45,5
1000,0,5,0,0,0,3821510.248349501,4421157.769344408,166,181,348,4,86,43,46,5
1010,2,5,0,0,0,3827560.127207413,4519443.474168401,168,183,351,4,89,45,46,5
1020,3,5,0,0,0,3863892.2701467634,4654005.470629887,170,187,357,4,89,45,47,5
1030,0,0,1,2,0,3904517.3651093077,4662597.470629887,172,190,364,4,91,45,47,5
1040,0,0,0,0,0,3908813.3651093077,4664118.470629887,174,191,367,4,93,46,47,5
1050,0,1,0,0,0,3908813.3651093077,4668414.470629887,174,193,369,4,95,46,47,5
1060,0,0,0,0,0,3913109.3651093077,4677006.470629887,176,197,373,4,98,46,47,5
1070,0,1,1,0,0,3914630.3651093077,4684364.520883028,177,197,375,4,98,46,47,5
1080,2,2,3,0,0,3931348.517342138,4714402.412229689,179,198,377,4,100,46,47,5
1090,4,4,1,0,0,3989151.388767644,4766678.058451828,181,202,381,4,102,47,47,5
1100,5,7,0,0,0,4082358.5177430967,4875533.6667349795,181,203,383,4,102,47,48,5
1110,5,4,0,0,0,4183487.19399388,5013660.560673434,181,203,384,4,102,48,48,5
1120,1,0,1,2,0,4260375.885414381,5019477.560673434,183,203,385,4,103,48,48,5
1130,0,0,2,0,0,4264938.885414381,5019477.560673434,185,203,387,4,103,49,48,5
1140,0,0,0,0,0,4272009.885414381,5019477.560673434,188,203,388,4,105,49,48,5
1150,0,0,1,0,0,4275051.885414381,5022252.560673434,190,204,390,4,106,49,48,5
1160,0,0,1,0,0,4276572.885414381,5022252.560673434,191,204,392,4,107,49,48,5
1170,2,1,1,0,0,4286898.512151543,5028264.964679295,196,207,401,4,108,49,48,5
1180,5,4,1,0,0,4344215.969435242,5059559.425963342,198,208,404,4,110,49,48,5
1190,8,4,0,0,0,4470434.8647422595,5132865.196949134,200,208,405,4,112,49,48,5
1200,9,3,0,0,0,4636280.648819496,5210374.766950932,200,212,411,4,112,49,48,5
1210,0,2,0,3,0,4755395.648819496,5231730.011899048,201,215,417,4,112,49,49,5
1220,2,1,2,1,1,4794160.8413388105,5244123.023364346,205,218,423,5,114,50,50,6
1230,1,2,0,0,1,4835743.2920096805,5273979.390646536,206,220,426,5,114,50,50,6
1240,2,4,1,0,1,4859699.836199526,5330883.545332156,207,221,429,5,114,50,50,7
1250,4,5,0,0,0,4925687.783792975,5414228.1594341155,211,224,435,5,115,50,52,7
1260,7,9,1,1,0,5036709.231134439,5558055.379687484,213,228,441,5,117,51,52,7
1270,11,3,1,2,0,5212413.796658285,5617222.154633193,215,230,447,5,117,51,52,7
1280,5,4,0,1,0,5378695.796658285,5663543.379555333,215,233,449,5,118,51,52,7
1290,5,3,1,0,0,5425403.207673475,5740000.605732205,216,234,453,5,118,51,52,7
1300,0,1,1,1,0,5444158.344196784,5758526.209688261,217,237,457,5,121,51,52,7
1310,0,3,0,0,0,5448454.344196784,5776228.010721684,219,239,460,5,124,51,52,7
1320,0,4,3,0,0,5459821.344196784,5857265.542517573,224,241,465,5,127,51,52,7
1330,5,7,3,0,0,5487923.20583842,5965810.102601327,226,242,467,5,128,51,53,7
1340,6,7,1,0,0,5580746.694303598,6101510.007662662,228,242,469,5,129,52,54,7
1350,7,7,0,0,0,5702034.809925522,6237210.007662662,230,242,471,5,129,52,56,7
1360,10,0,1,0,0,5864029.381293461,6274039.007662662,232,242,473,5,130,54,57,7
1370,4,0,1,0,0,6042709.461286777,6274039.007662662,232,242,474,5,131,55,57,7
1380,0,0,2,0,0,6051568.461286777,6282631.007662662,236,246,483,5,133,55,57,7
1390,0,1,1,0,0,6054553.757939322,6297436.0192672135,237,247,485,5,133,55,57,7
1400,0,1,0,0,0,6054553.757939322,6321334.49984317,237,249,486,5,134,56,58,7
1410,0,4,0,0,0,6060370.757939322,6388659.8105491,240,250,488,5,136,56,58,7
1420,3,4,2,0,0,6084169.480164159,6491205.607474236,242,250,489,5,138,57,58,7
1430,8,5,0,0,0,6170668.06878448,6608226.545166866,247,252,494,5,140,57,59,7
1440,12,6,0,0,0,6331221.228509142,6750574.144414457,250,252,499,5,140,57,59,7
1450,13,1,0,2,0,6567135.696898824,6794349.741180409,250,254,501,5,141,57,60,7
1460,5,0,0,0,0,6783367.39491353,6809431.636909867,250,258,506,5,142,58,60,7
1470,5,1,0,1,0,6836421.420188614,6819535.636909867,253,261,508,5,145,58,61,7
1480,4,0,1,0,0,6881452.682254311,6822992.636909867,255,262,511,5,145,58,61,7
1490,1,0,0,0,0,6922726.331766589,6827555.636909867,256,265,517,5,145,58,61,7
1500,0,5,2,0,0,6928543.331766589,6876678.916951487,258,268,520,5,147,59,61,7
1510,1,6,3,0,0,6940129.24887217,6974163.016653227,258,269,521,5,148,59,61,7
